LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,Species2_eBird,Specimen.number,n_specimens
"Kimpoko, Zaire",Democratic Republic of the Congo,,,-4.202222,15.551667,yes,Low(37),Unavailable,,"-4.234444,15.550278,KIMPOKO|Unavailable|Unavailable|Low(37),-4.202222,15.551667,KIMPOKO|Unavailable|Unavailable|Low(37),0,25,ZAIRE|Unavailable|Unavailable|Low(35)",Baeopogon indicator,1992-054,1
Kumba,"Cameroon, Cameroon",,,4.620062,9.440903,yes,,,,,Baeopogon indicator,"1966.16.1190, 1966.16.1181",2
"Kupe, Westkamerun",Cameroon,,,4.7571,9.6854,yes,Low(34),Unavailable,,"4.7571,9.6854,KUPE|Unavailable|Unavailable|Low(34),6,12,KAMERUN|Unavailable|Unavailable|Low(24)",Baeopogon indicator,1968-779,1
River Ja,"Cameroon, Cameroon",,,2.846401,13.276172,yes,,,,,Baeopogon indicator,"1911.5.31.287, 1911.5.31.284",2
20 mi south of Sefadu,Sierra Leone,,,8.46409,-10.904029,yes,High(81),Unavailable,,"8.364628,-10.998033,Distance South of SEFADU|Unavailable|Unavailable|High(81),8.358981,-10.983333,Distance South of SEFADU|Unavailable|Unavailable|High(81),8.358981,-10.9667,Distance South of SEFADU|Unavailable|Unavailable|High(81),8.46409,-10.904029,Distance South of SEFADU|Unavailable|Unavailable|High(81)",Bleda canicapillus,1930.12.3.319,1
Kamasigi,Sierra Leone,,,9.319963,-11.911648,yes,,,,,Bleda canicapillus,1930.12.3.318,1
York Pass,Sierra Leone,,,8.284904,-13.180598,yes,Low(34),Unavailable,,"7.541151,-12.46296,YORK|Unavailable|Unavailable|Low(34),8.284904,-13.180598,YORK|Unavailable|Unavailable|Low(34),8.2833,-13.1667,YORK|Unavailable|Unavailable|Low(34)",Bleda canicapillus,1937.10.15.61,1
"Bitye, River Dja, South Region",Cameroon,,,3.016667,12.366667,yes,Low(42),Unavailable,,"2.75,11.583333,SOUTH REGION|Unavailable|Unavailable|Low(42),2.5,11.75,SOUTH REGION|Unavailable|Unavailable|Low(42),3.016667,12.366667,BITYE|Unavailable|Unavailable|Low(35),2.75,11.583333,SOUTH|Unavailable|Unavailable|Low(35),2.5,11.75,SOUTH|Unavailable|Unavailable|Low(35),4.466667,14.416667,DJA|Unavailable|Unavailable|Low(33),5.483333,12.35,DJA|Unavailable|Unavailable|Low(33),2.433333,12.4,DJA|Unavailable|Unavailable|Low(33),2.033333,15.2,DJA|Unavailable|Unavailable|Low(33),5.3,12.233333,DJA|Unavailable|Unavailable|Low(33),3.816667,12.7,DJA|Unavailable|Unavailable|Low(33)",Bleda notatus,1924.11.2.130,1
"Bubi Town, Bioko","Equatorial Guinea, Equatorial Guinea",,,3.717903,8.83543,yes,,,,,Bleda notatus,"1904.6.22.128, 1904.6.22.128",2
"Fish Town, Fernando PO",Equatorial Guinea,,,3.387037,8.755876,yes,Low(41),,,"3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41)",Bleda notatus,1904.6.22.129,1
River Ja,Cameroon,,,2.811894,13.325373,yes,,,,,Bleda notatus,1905.1.24.114,1
"Sepopo, Fernando PO",Equatorial Guinea,,,3.756537,8.890437,yes,Low(41),,,"3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41)",Bleda notatus,1936.2.21.288,1
"Sipopo, Fernando Po (now Bioko)",Equatorial Guinea,,,3.758636,8.887486,yes,Low(41),,,"3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5833,8.75,BIOKO|Unavailable|Unavailable|Low(35),3.350442,8.662766,BIOKO|Unavailable|Unavailable|Low(35),3.5,8.7,BIOKO|Unavailable|Unavailable|Low(35)",Bleda notatus,1911.12.23.1672,1
"near Rebola, Fernando Po (now Bioko)",Equatorial Guinea,,,3.716667,8.833333,no,Medium(51),unavailable,,"3.716667,8.833333,Near REBOLA|Unavailable|Unavailable|Medium(51)",Bleda notatus,1911.12.23.1671,1
"Bu, Zaire",Democratic Republic of the Congo,,,-4.751453,15.663939,yes,Low(35),,,"0,25,ZAIRE|Unavailable|Unavailable|Low(35)",Bleda syndactylus,1986-068,1
Katire Primary Forest,"South Sudan, South Sudan",,,3.965038,32.783599,yes,,,,,Bleda syndactylus,"1978-056, 1978-058",2
Mt. Nimba,"Liberia, Liberia, Liberia, Liberia",,,7.535399,-8.50491,yes,,,,,Bleda syndactylus,"1977.20.1178, 1977.20.1175, 1977.20.1186, 1977.20.1189",4
S.Sylhet,India,,,24.604022,91.938925,yes,,,,,Brachypodius melanocephalos,2089,1
M.Andaman,"India, India",,,12.559671,92.816115,yes,,,,,Brachypodius fuscoflavescens,"22076, 22075",2
PENANG HILL,"Malaysia, Malaysia, Malaysia, Malaysia",,,5.435295,100.255576,yes,,,,,Brachypodius melanocephalos,"B/10248, B/10247, B/10246, B/10245",4
Port Blair,India,,,11.658093,92.730345,yes,High(85),Unavailable,,"11.666667,92.75,PORT BLAIR|Unavailable|Unavailable|High(85),11.658093,92.730345,(g3)Port Blair|Unavailable|5253|Medium(60)",Brachypodius fuscoflavescens,22077,1
S.Andaman,"India, India, India",,,11.828766,92.655372,yes,,,,,Brachypodius fuscoflavescens,"23322, 22074, 25889",3
S.Andaman,India,,,12,92.75,yes,Low(37),Unavailable,,"10,93,ANDAMAN|Unavailable|Unavailable|Low(37),10.033105,78.165045,ANDAMAN|Unavailable|Unavailable|Low(37),12,92.75,ANDAMAN|Unavailable|Unavailable|Low(37)",Brachypodius fuscoflavescens,1005,1
"Canacona, Goa","India, India",,,14.996381,74.042758,yes,,,,,Brachypodius priocephalus,"24102, 24101",2
"Karwar, MH",India,,,14.813611,74.129722,yes,Low(36),Unavailable,,"25.151029,83.854112,KARWAR|Unavailable|Unavailable|Low(36),21.530233,78.548228,KARWAR|Unavailable|Unavailable|Low(36),21.549574,78.421319,KARWAR|Unavailable|Unavailable|Low(36),25.720108,76.11436,KARWAR|Unavailable|Unavailable|Low(36),27.944261,76.751149,KARWAR|Unavailable|Unavailable|Low(36),22.501723,81.994349,KARWAR|Unavailable|Unavailable|Low(36),23.105351,74.86893,KARWAR|Unavailable|Unavailable|Low(36),14.813611,74.129722,KARWAR|Unavailable|Unavailable|Low(36),25.720108,76.11436,KARWAR|Unavailable|Unavailable|Low(36),23.105005,74.869377,KARWAR|Unavailable|Unavailable|Low(36),14.809304,74.12885,KARWAR|Unavailable|Unavailable|Low(36)",Brachypodius priocephalus,2097,1
Kannur,India,,,11.867003,75.365998,yes,High(81),Unavailable,,"13.166785,77.151589,KANNUR|Unavailable|Unavailable|High(81),13.092095,77.65364,KANNUR|Unavailable|Unavailable|High(81),11.867003,75.365998,KANNUR|Unavailable|Unavailable|High(81),14.285075,75.16323,KANNUR|Unavailable|Unavailable|High(81),12.166667,75.333333,KANNUR|Unavailable|Unavailable|High(81),17.042918,76.926287,KANNUR|Unavailable|Unavailable|High(81),17.517295,76.87558,KANNUR|Unavailable|Unavailable|High(81),12.970319,78.370001,KANNUR|Unavailable|Unavailable|High(81),12.981717,79.84166,KANNUR|Unavailable|Unavailable|High(81),11.938066,78.712177,KANNUR|Unavailable|Unavailable|High(81),12.1097,77.244735,KANNUR|Unavailable|Unavailable|High(81),14.110563,75.245196,KANNUR|Unavailable|Unavailable|High(81),11.445387,75.738675,KANNUR|Unavailable|Unavailable|High(81),18.206166,79.506682,KANNUR|Unavailable|Unavailable|High(81)",Brachypodius priocephalus,88.4.1.389,1
Katyal,India,,,14.833385,74.133075,yes,,,,,Brachypodius priocephalus,1925.12.23.377,1
Malabar Cst.,India,,,9.947743,76.253802,no,Low(37),unavailable,,"9.947743,76.253802,MALABAR|Unavailable|Unavailable|Low(37)",Brachypodius priocephalus,86.9.1.1312,1
"Mollem, Goa",India,,,15.375955,74.194003,yes,Low(33),Unavailable,,"15.409269,73.788685,GOA|Unavailable|Unavailable|Low(33),24.602428,72.725831,GOA|Unavailable|Unavailable|Low(33),15.333333,74.08333,GOA|Unavailable|Unavailable|Low(33),15.501574,73.913146,GOA|Unavailable|Unavailable|Low(33),32.448826,76.539889,GOA|Unavailable|Unavailable|Low(33),15.4,73.8,GOA|Unavailable|Unavailable|Low(33),15.5,73.916667,GOA|Unavailable|Unavailable|Low(33),23.785769,84.315969,GOA|Unavailable|Unavailable|Low(33),15.333,74.083,GOA|Unavailable|Unavailable|Low(33)",Brachypodius priocephalus,24100,1
"Mysore, KA",India,,,12.292664,76.638543,yes,Low(36),Unavailable,,"12.316672,76.645833,MYSORE|Unavailable|Unavailable|Low(36),14.666667,75.833333,MYSORE|Unavailable|Unavailable|Low(36),12,76.5,MYSORE|Unavailable|Unavailable|Low(36),12.292664,76.638543,MYSORE|Unavailable|Unavailable|Low(36),12,76.5,MYSORE|Unavailable|Unavailable|Low(36),12.307222,76.649722,MYSORE|Unavailable|Unavailable|Low(36),13.5,76,MYSORE|Unavailable|Unavailable|Low(36)",Brachypodius priocephalus,2093,1
"Palni, KL",India,,,10.452283,77.516518,yes,Low(35),Unavailable,,"25.12926,85.612429,PALNI|Unavailable|Unavailable|Low(35),29.222046,78.432265,PALNI|Unavailable|Unavailable|Low(35),10.466667,77.533333,PALNI|Unavailable|Unavailable|Low(35),10.452283,77.516518,PALNI|Unavailable|Unavailable|Low(35)",Brachypodius priocephalus,19883,1
"Sakleshpur, KA",India,,,12.94119,75.784672,no,Low(40),unavailable,,"12.94119,75.784672,SAKLESHPUR|Unavailable|Unavailable|Low(40),12.966667,75.783333,SAKLESHPUR|Unavailable|Unavailable|Low(40)",Brachypodius priocephalus,2092,1
"Thatlakad, N Travancore",India,,,10.09727,76.709455,yes,Low(40),,,"8.885634,76.59257,TRAVANCORE|Unavailable|Unavailable|Low(40),27.666667,88.5,NORTH|Unavailable|Unavailable|Low(35)",Brachypodius priocephalus,1949.Whi.1.14546,1
"Grassfield, Mt Nimba","Liberia, Liberia, Liberia",,,7.487041,-8.574094,yes,,,,,Calyptocichla serinus,"1977.20.1066, 1977.20.1069, 1977.20.1065",3
Mt Nimba,Liberia,,,7.488889,-8.570833,yes,Low(35),Unavailable,,"7.493611,-8.585,NIMBA|Unavailable|Unavailable|Low(35),7.488889,-8.570833,NIMBA|Unavailable|Unavailable|Low(35),6.75,-8.75,NIMBA|Unavailable|Unavailable|Low(35),6.816667,-8.783333,NIMBA|Unavailable|Unavailable|Low(35)",Calyptocichla serinus,1977.20.1074,1
"Chongoroi, Benguela",Angola,,,-13.589313,13.812305,no,Low(39),unavailable,,"-13.589313,13.812305,CHONGOROI|Unavailable|Unavailable|Low(39),-13.35,13.8,CHONGOROI|Unavailable|Unavailable|Low(39),-13.566667,13.95,CHONGOROI|Unavailable|Unavailable|Low(39),-13.5667,13.95,CHONGOROI|Unavailable|Unavailable|Low(39),-12.1,15.283333,BENGUELA|Unavailable|Unavailable|Low(38),-12.578333,13.407222,BENGUELA|Unavailable|Unavailable|Low(38),-12.853995,13.928248,BENGUELA|Unavailable|Unavailable|Low(38),-12.739634,13.577837,BENGUELA|Unavailable|Unavailable|Low(38),-12.5667,13.4,BENGUELA|Unavailable|Unavailable|Low(38),-12.853,13.928,BENGUELA|Unavailable|Unavailable|Low(38)",Chlorocichla falkensteini,1957.35.182,1
"N'dalatando, Cuanza Norte","Angola, Angola",,,-9.326953,14.916045,yes,,,,,Chlorocichla falkensteini,"1910.5.6.589, 1910.5.6.592",2
"Near Cuvo River, 12 miles south-west of Gabela, Cuanza Sul",Angola,,,-10.980425,14.30053,yes,Medium(49),Unavailable,,"-6.794451,15.11166,Near CUVO|Unavailable|Unavailable|Medium(49),-9.216501,16.349001,Near CUVO|Unavailable|Unavailable|Medium(49),-9.802246,15.390444,Near CUVO|Unavailable|Unavailable|Medium(49),-10.839879,13.795859,Near CUVO|Unavailable|Unavailable|Medium(49),-10.858908,13.794264,Near CUVO|Unavailable|Unavailable|Medium(49),-11.470777,14.678303,Near CUVO|Unavailable|Unavailable|Medium(49),-12.15,15.583333,Near CUVO|Unavailable|Unavailable|Medium(49)",Chlorocichla falkensteini,1957.35.180,1
Durban,"South Africa, South Africa, South Africa",,,-29.841656,30.930397,yes,,,,,Chlorocichla flaviventris,"85.1.3.4, 95.5.1.730, 79.9.7.96",3
Illovo,South Africa,,,-26.1333,28.05,yes,High(81),Unavailable,,"-22.512332,28.729888,ILLOVO|Unavailable|Unavailable|High(81),-29.833333,30.2,ILLOVO|Unavailable|Unavailable|High(81),-30.116667,30.85,ILLOVO|Unavailable|Unavailable|High(81),-22.533375,28.735764,ILLOVO|Unavailable|Unavailable|High(81),-26.1333,28.05,ILLOVO|Unavailable|Unavailable|High(81),-30.1,30.8333,ILLOVO|Unavailable|Unavailable|High(81),-30.111773,30.852597,ILLOVO|Unavailable|Unavailable|High(81)",Chlorocichla flaviventris,1905.12.29.1952,1
Inland Durban Natal,South Africa,,,-29.857896,31.029198,yes,Low(36),Unavailable,,"-29.85,31.033333,DURBAN|Unavailable|Unavailable|Low(36),-29.857896,31.029198,DURBAN|Unavailable|Unavailable|Low(36),-22.620184,29.501299,DURBAN|Unavailable|Unavailable|Low(36),-26.183333,27.833333,DURBAN|Unavailable|Unavailable|Low(36),-26.183333,27.8,DURBAN|Unavailable|Unavailable|Low(36),-29.8833,31,DURBAN|Unavailable|Unavailable|Low(36),-23.661891,28.030794,DURBAN|Unavailable|Unavailable|Low(36),-29.866667,31.05,NATAL|Unavailable|Unavailable|Low(35),-28.388578,27.228258,NATAL|Unavailable|Unavailable|Low(35),-29,30,NATAL|Unavailable|Unavailable|Low(35),-26.429855,28.16055,NATAL|Unavailable|Unavailable|Low(35),-29,30,NATAL|Unavailable|Unavailable|Low(35),-22.909428,29.399831,NATAL|Unavailable|Unavailable|Low(35)",Chlorocichla flaviventris,1967-368,1
"Mikindani, Mtwara-Distr., Tanganyika",United Republic of Tanzania,,,-10.283333,40.116667,yes,Low(40),Unavailable,,"-9.116667,35.65,TANGANYIKA|Unavailable|Unavailable|Low(40),-5.159042,38.8025,TANGANYIKA|Unavailable|Unavailable|Low(40),-6,35,TANGANYIKA|Unavailable|Unavailable|Low(40),-5.4,39.65,MIKINDANI|Unavailable|Unavailable|Low(39),-5.116667,39.783333,MIKINDANI|Unavailable|Unavailable|Low(39),-5.066667,39.75,MIKINDANI|Unavailable|Unavailable|Low(39),-10.266667,40.183333,MIKINDANI|Unavailable|Unavailable|Low(39),-10.283333,40.116667,MIKINDANI|Unavailable|Unavailable|Low(39),-10.2667,40.0833,MIKINDANI|Unavailable|Unavailable|Low(39),-10.295164,40.111164,MIKINDANI|Unavailable|Unavailable|Low(39),-6.033333,39.233333,MIKINDANI|Unavailable|Unavailable|Low(39),-10.666667,39,MTWARA|Unavailable|Unavailable|Low(36),-10.266667,40.183333,MTWARA|Unavailable|Unavailable|Low(36),-10.47941,39.988072,MTWARA|Unavailable|Unavailable|Low(36),-10.8,39.133333,MTWARA|Unavailable|Unavailable|Low(36),-10.2833,40.1833,MTWARA|Unavailable|Unavailable|Low(36),-5.35,39.65,KINDANI|Unavailable|Unavailable|Low(24)",Chlorocichla flaviventris,1965.493,1
"Olumoti- Masail, N-Tansania",United Republic of Tanzania,,,-3.027142,35.626478,yes,Low(38),,,"-6,35,TANSANIA|Unavailable|Unavailable|Low(38),-6,35,TANSANIA|Unavailable|Unavailable|Low(38)",Chlorocichla flaviventris,1992-057,1
"Pugu Hills Forest Reserve, Kisarawe Distr., Coast Region, Tanzania",United Republic of Tanzania,,,-6.9,39.083333,yes,Low(42),Unavailable,,"-7.25,38.833333,COAST REGION|Unavailable|Unavailable|Low(42),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6.9,39.066667,KISARAWE|Unavailable|Unavailable|Low(38),-6.9,39.083333,KISARAWE|Unavailable|Unavailable|Low(38),-7.145858,38.695199,KISARAWE|Unavailable|Unavailable|Low(38),-6.9261,39.000792,KISARAWE|Unavailable|Unavailable|Low(38),-6.9,39.066667,KISARAWE|Unavailable|Unavailable|Low(38),-7,39,COAST|Unavailable|Unavailable|Low(35),-7.25,38.833333,COAST|Unavailable|Unavailable|Low(35),-6.983333,37.816667,PUGU|Unavailable|Unavailable|Low(34),-6.896464,39.122468,PUGU|Unavailable|Unavailable|Low(34),-6.9,39.116667,PUGU|Unavailable|Unavailable|Low(34)",Chlorocichla flaviventris,2012-192,1
"Same District North Pare Mountains, Tansania",United Republic of Tanzania,,,-4,37.75,yes,Low(50),Unavailable,,"-3.75,37.666667,NORTH PARE MOUNTAINS|Unavailable|Unavailable|Low(50),-4,37.75,PARE MOUNTAINS|Unavailable|Unavailable|Low(44),-4.221991,37.882783,SAME DISTRICT|Unavailable|Unavailable|Low(43),-6,35,TANSANIA|Unavailable|Unavailable|Low(38),-6,35,TANSANIA|Unavailable|Unavailable|Low(38),-4.066667,37.733333,SAME|Unavailable|Unavailable|Low(34),-4.221991,37.882783,SAME|Unavailable|Unavailable|Low(34),-4.0667,37.6833,SAME|Unavailable|Unavailable|Low(34),-4.035103,37.6974,SAME|Unavailable|Unavailable|Low(34),-4.138185,37.580691,SAME|Unavailable|Unavailable|Low(34)",Chlorocichla flaviventris,1959-540,1
Tanganyika,United Republic of Tanzania,,,-9.116667,35.65,yes,High(85),Unavailable,,"-6,35,TANGANYIKA|Unavailable|Unavailable|High(85),-9.116667,35.65,TANGANYIKA|Unavailable|Unavailable|High(85),-5.159042,38.8025,TANGANYIKA|Unavailable|Unavailable|High(85)",Chlorocichla flaviventris,1959.541,1
"Tundavala (Sa da Bandira), Hoila, Angola",Angola,,,-14.860448,13.446402,yes,Low(36),Unavailable,,"-14.133333,14.5,ANGOLA|Unavailable|Unavailable|Low(36),-12.5,18.5,ANGOLA|Unavailable|Unavailable|Low(36),-12.5,18.5,ANGOLA|Unavailable|Unavailable|Low(36)",Chlorocichla flaviventris,1966-642,1
"Gilo, Imatong Mts",South Sudan,,,4.038061,32.843762,yes,Low(37),Unavailable,,"4.170839,32.761496,IMATONG|Unavailable|Unavailable|Low(37),4.038061,32.843762,GILO|Unavailable|Unavailable|Low(34)",Chlorocichla laetissima,1949.30.137,1
"Mpanga Forest, Fort Portal","Uganda, Uganda, Uganda",,,0.080535,30.336113,yes,,,,,Chlorocichla laetissima,"1906.12.23.1338, 1906.12.23.1337, 1906.12.23.1339",3
"Upper Talanga, Sudan","Sudan, Sudan",,,3.934627,32.764863,yes,,,,,Chlorocichla laetissima,"1980-261, 1980-260",2
"Grassfield, Mt Nimba","Liberia, Liberia",,,7.48719,-8.570038,yes,,,,,Chlorocichla simplex,"1977.20.1106, 1977.20.1119",2
"Mine Road, Mt Nimba",Liberia,,,7.553343,-8.495444,yes,Low(35),,,"7.493611,-8.585,NIMBA|Unavailable|Unavailable|Low(35),7.488889,-8.570833,NIMBA|Unavailable|Unavailable|Low(35),6.75,-8.75,NIMBA|Unavailable|Unavailable|Low(35),6.816667,-8.783333,NIMBA|Unavailable|Unavailable|Low(35)",Chlorocichla simplex,1977.20.1117,1
"Yekepa, Mt Nimba",Liberia,,,7.579444,-8.537778,no,Low(36),unavailable,,"7.579444,-8.537778,YEKEPA|Unavailable|Unavailable|Low(36),7.488889,-8.570833,NIMBA|Unavailable|Unavailable|Low(35),7.493611,-8.585,NIMBA|Unavailable|Unavailable|Low(35),6.816667,-8.783333,NIMBA|Unavailable|Unavailable|Low(35),6.75,-8.75,NIMBA|Unavailable|Unavailable|Low(35)",Chlorocichla simplex,1977.20.1112,1
Fumsu,Ghana,,,6.106053,-1.452838,yes,,,,,Criniger barbatus,1911.12.23.1701,1
Mt. Nimba,Liberia,,,7.518329,-8.508855,yes,Low(35),,,"7.493611,-8.585,NIMBA|Unavailable|Unavailable|Low(35),7.488889,-8.570833,NIMBA|Unavailable|Unavailable|Low(35),6.75,-8.75,NIMBA|Unavailable|Unavailable|Low(35),6.816667,-8.783333,NIMBA|Unavailable|Unavailable|Low(35)",Criniger barbatus,1977.20.1249,1
York Pass,Sierra Leone,,,8.2833,-13.1667,yes,Low(34),Unavailable,,"7.541151,-12.46296,YORK|Unavailable|Unavailable|Low(34),8.284904,-13.180598,YORK|Unavailable|Unavailable|Low(34),8.2833,-13.1667,YORK|Unavailable|Unavailable|Low(34)",Criniger barbatus,1937.10.15.62,1
near Bintumane Peak,Sierra Leone,,,9.211573,-11.127653,yes,,,,,Criniger barbatus,1930.12.3.288,1
Efulen,Cameroon,,,2.766667,10.716667,yes,High(81),Unavailable,,"2.766667,10.716667,EFULEN|Unavailable|Unavailable|High(81),2.783333,10.533333,EFULEN|Unavailable|Unavailable|High(81)",Criniger calurus,1902.7.15.10,1
Kumba,Cameroon,,,4.65,9.4333,yes,High(80),Unavailable,,"4.6363,9.4469,KUMBA|Unavailable|Unavailable|High(80),4.6921,9.2097,KUMBA|Unavailable|Unavailable|High(80),4.65,9.4333,KUMBA|Unavailable|Unavailable|High(80),4.5307,9.4997,KUMBA|Unavailable|Unavailable|High(80)",Criniger calurus,1966.16.840,1
"Omanelu, Rivers Province",Nigeria,,,5.203229,6.865112,yes,Low(36),,,"4.75,6.833333,RIVERS|Unavailable|Unavailable|Low(36)",Criniger calurus,1966.16.865,1
"Umuagwu, Owerri Province","Nigeria, Nigeria, Nigeria",,,5.306969,6.938658,yes,,,,,Criniger calurus,"1966.16.857, 1966.16.853, 1966.16.847",3
"Komo River, 60 miles from Gabon",Equatorial Guinea,,,0.15,9.833333,yes,Low(34),,,"0.15,9.833333,KOMO|Unavailable|Unavailable|Low(34)",Criniger chloronotus,1901.4.24.11,1
"Kumba, Southwest Province",Cameroon,,,4.65,9.4333,yes,Low(35),Unavailable,,"4.5307,9.4997,KUMBA|Unavailable|Unavailable|Low(35),4.6363,9.4469,KUMBA|Unavailable|Unavailable|Low(35),4.6921,9.2097,KUMBA|Unavailable|Unavailable|Low(35),4.65,9.4333,KUMBA|Unavailable|Unavailable|Low(35),5.5,10.666667,WEST PROVINCE|Unavailable|Unavailable|Low(30),5.5,10.5,WEST PROVINCE|Unavailable|Unavailable|Low(30)",Criniger chloronotus,1966.16.1668,1
Landana,Republic of Congo,,,-5.23473,12.162915,yes,,,,,Criniger chloronotus,95.5.1.675,1
Ekona,Cameroon,,,4.231839,9.324966,yes,High(80),,,"5.0288,9.4924,EKONA|Unavailable|Unavailable|High(80)",Criniger ndussumensis,1966.16.802,1
Kumba,Cameroon,,,4.65,9.4333,yes,High(80),Unavailable,,"4.6363,9.4469,KUMBA|Unavailable|Unavailable|High(80),4.6921,9.2097,KUMBA|Unavailable|Unavailable|High(80),4.65,9.4333,KUMBA|Unavailable|Unavailable|High(80),4.5307,9.4997,KUMBA|Unavailable|Unavailable|High(80)",Criniger ndussumensis,1966.16.805,1
Ndor,Cameroon,,,4.883333,9.433333,no,High(79),unavailable,,"4.883333,9.433333,NDOR|Unavailable|Unavailable|High(79)",Criniger ndussumensis,1966.16.803,1
Umuagu,Nigeria,,,5.307124,6.943678,yes,High(81),Unavailable,,"5.233333,7.416667,UMUAGU|Unavailable|Unavailable|High(81),5.307124,6.943678,UMUAGU|Unavailable|Unavailable|High(81),5.150101,7.393744,UMUAGU|Unavailable|Unavailable|High(81),6.26553,7.36431,UMUAGU|Unavailable|Unavailable|High(81),6.15816,7.291489,UMUAGU|Unavailable|Unavailable|High(81)",Criniger ndussumensis,1966.16.801,1
Mt. Nimba,"Liberia, Liberia, Liberia, Liberia",,,7.503267,-8.516544,yes,,,,,Criniger olivaceus,"1977.20.1273, 1977.20.1280, 1977.20.1279, 1977.20.1272",4
"Aba, Abai, Nigeria",Nigeria,,,5.1,7.35,yes,Low(37),Unavailable,,"10,8,NIGERIA|Unavailable|Unavailable|Low(37),10,8,NIGERIA|Unavailable|Unavailable|Low(37),5.416667,7.5,ABAI|Unavailable|Unavailable|Low(34),6.81762,9.610869,ABA|Unavailable|Unavailable|Low(33),7.7,3.566667,ABA|Unavailable|Unavailable|Low(33),7.61554,8.190353,ABA|Unavailable|Unavailable|Low(33),7.35208,8.172406,ABA|Unavailable|Unavailable|Low(33),7.465366,9.283496,ABA|Unavailable|Unavailable|Low(33),4.822309,7.490881,ABA|Unavailable|Unavailable|Low(33),7.983333,3.133333,ABA|Unavailable|Unavailable|Low(33),7.194875,8.601925,ABA|Unavailable|Unavailable|Low(33),11.019253,7.762308,ABA|Unavailable|Unavailable|Low(33),8.914444,7.635556,ABA|Unavailable|Unavailable|Low(33),10.989055,7.724679,ABA|Unavailable|Unavailable|Low(33),7.308108,8.975673,ABA|Unavailable|Unavailable|Low(33),8.70207,12.470211,ABA|Unavailable|Unavailable|Low(33),5.106576,7.366667,ABA|Unavailable|Unavailable|Low(33),8.502647,12.277723,ABA|Unavailable|Unavailable|Low(33),6.494493,3.383927,ABA|Unavailable|Unavailable|Low(33),8.664109,12.346042,ABA|Unavailable|Unavailable|Low(33),7.786849,9.692825,ABA|Unavailable|Unavailable|Low(33),7.318081,8.78702,ABA|Unavailable|Unavailable|Low(33),5.1,7.35,ABA|Unavailable|Unavailable|Low(33),7.224878,8.521852,ABA|Unavailable|Unavailable|Low(33),7.37785,9.159263,ABA|Unavailable|Unavailable|Low(33),7.330338,9.147198,ABA|Unavailable|Unavailable|Low(33)",Eurillas ansorgei,1966.16.1035,1
"Grassfield, Mt Nimba",Liberia,,,7.488889,-8.570833,yes,Low(40),Unavailable,,"6.766667,-11.35,GRASSFIELD|Unavailable|Unavailable|Low(40),7.488889,-8.570833,GRASSFIELD|Unavailable|Unavailable|Low(40),7.488889,-8.570833,NIMBA|Unavailable|Unavailable|Low(35),6.75,-8.75,NIMBA|Unavailable|Unavailable|Low(35),7.493611,-8.585,NIMBA|Unavailable|Unavailable|Low(35),6.816667,-8.783333,NIMBA|Unavailable|Unavailable|Low(35)",Eurillas ansorgei,1977.20.985,1
Umuagwu,Nigeria,,,5.293845,6.896488,yes,High(82),Unavailable,,"5.293845,6.896488,UMUAGWU|Unavailable|Unavailable|High(82)",Eurillas ansorgei,1966.16.1028,1
"Umuagwu, Owerri Province",Nigeria,,,5.293845,6.896488,no,Low(37),unavailable,,"5.293845,6.896488,UMUAGWU|Unavailable|Unavailable|Low(37),5.75,7.116667,OWERRI|Unavailable|Unavailable|Low(36),5.4833,7.0333,OWERRI|Unavailable|Unavailable|Low(36),5.483626,7.033248,OWERRI|Unavailable|Unavailable|Low(36)",Eurillas ansorgei,1966.16.1029,1
Feshi,Democratic Republic of the Congo,,,-6.116667,18.166667,yes,High(80),Unavailable,,"-6.116667,18.166667,FESHI|Unavailable|Unavailable|High(80),-6.216667,18.366667,FESHI|Unavailable|Unavailable|High(80)",Eurillas curvirostris,1961-2855,1
"Lager II, Malembe, N-O-Seite",Cameroon,,,2.147151,15.34808,yes,,,,,Eurillas curvirostris,1961-1283,1
Meme River Ferry,Cameroon,,,4.5316,9.0798,yes,Low(40),Unavailable,,"4.4758,8.8846,MEME RIVER|Unavailable|Unavailable|Low(40),4.4758,8.8846,MEME|Unavailable|Unavailable|Low(34),10.978093,14.241673,MEME|Unavailable|Unavailable|Low(34),4.5316,9.0798,MEME|Unavailable|Unavailable|Low(34),2.333333,10.75,MEME|Unavailable|Unavailable|Low(34)",Eurillas curvirostris,1966.16.1004,1
Ndoi,Cameroon,,,4.883333,9.433333,yes,High(79),Unavailable,,"5.081094,9.170743,NDOI|Unavailable|Unavailable|High(79),4.883333,9.433333,NDOI|Unavailable|Unavailable|High(79)",Eurillas curvirostris,1966.16.1003,1
